avg_first_response_time,treatment,experiment
82228.66666666667,0,Confidence Judgments
12789.0,1,Confidence Judgments
381119306.4,0,Confidence Judgments
8283211.818181818,0,Confidence Judgments
70175.0,0,Confidence Judgments
51286.0,1,Confidence Judgments
265698.3333333333,1,Confidence Judgments
177260.25,1,Confidence Judgments
78401.33333333333,0,Confidence Judgments
45436.148148148146,1,Confidence Judgments
57420119.333333336,0,Confidence Judgments
75307.9,1,Confidence Judgments
2579985.0,0,Confidence Judgments
51420.0,0,Confidence Judgments
72445911.83333333,1,Confidence Judgments
80317.5,0,Confidence Judgments
7906449.4,0,Confidence Judgments
29398128.25,0,Confidence Judgments
387187122.0,1,Confidence Judgments
34516507.2,0,Confidence Judgments
21033825.5,0,Confidence Judgments
674164530.75,1,Confidence Judgments
155624.0,0,Confidence Judgments
7282759.185185186,0,Confidence Judgments
13795087.214285716,0,Confidence Judgments
114763067.33333331,0,Confidence Judgments
39089149.75,0,Confidence Judgments
126559.0,0,Confidence Judgments
32800.0,1,Confidence Judgments
4215.0,0,Confidence Judgments
145474.0,0,Confidence Judgments
170149.7,0,Confidence Judgments
445968.0,1,Confidence Judgments
65489.333333333336,0,Confidence Judgments
235415.0,0,Confidence Judgments
254504.5,0,Confidence Judgments
59518.333333333336,0,Confidence Judgments
145873.83333333334,0,Confidence Judgments
130389.5,0,Confidence Judgments
114740.5,1,Confidence Judgments
226091.16666666663,0,Confidence Judgments
16369674.727272728,1,Confidence Judgments
223696137.5,0,Confidence Judgments
5706.0,0,Confidence Judgments
48514.0,1,Confidence Judgments
98120.25,1,Confidence Judgments
45216.0,1,Confidence Judgments
4536.0,0,Confidence Judgments
221914.25,1,Confidence Judgments
151298863.5,1,Confidence Judgments
16979.75,0,Confidence Judgments
16237.25,0,Confidence Judgments
17535.0,1,Confidence Judgments
48970.333333333336,0,Confidence Judgments
25356.75,0,Confidence Judgments
20223.5,0,Confidence Judgments
85353.44444444444,1,Confidence Judgments
68371.25,0,Confidence Judgments
116370.66666666669,0,Confidence Judgments
39272.75,0,Confidence Judgments
41300.0,0,Confidence Judgments
131992.4,0,Confidence Judgments
26491.25,1,Confidence Judgments
120953.0,0,Confidence Judgments
116528.0,0,Confidence Judgments
2098718.75,1,Confidence Judgments
131601.33333333334,1,Confidence Judgments
7508.0,0,Confidence Judgments
354175.6,1,Confidence Judgments
98421.25,1,Confidence Judgments
380832.0,1,Confidence Judgments
4378599.75,0,Confidence Judgments
49943.166666666664,0,Confidence Judgments
26081.333333333332,0,Confidence Judgments
21608.0,1,Confidence Judgments
15723.25,0,Confidence Judgments
32511.5,1,Confidence Judgments
129428661.25,0,Confidence Judgments
28539.0,1,Confidence Judgments
30500.0,0,Confidence Judgments
28202.75,1,Confidence Judgments
40875.166666666664,0,Confidence Judgments
21312.5,1,Confidence Judgments
118587.16666666669,0,Confidence Judgments
12040.0,1,Confidence Judgments
31741.875,0,Confidence Judgments
720976.5,1,Confidence Judgments
35788.666666666664,0,Confidence Judgments
342749.6666666667,0,Confidence Judgments
41321.5,0,Confidence Judgments
85143.0,0,Confidence Judgments
27909.5,1,Confidence Judgments
98843.25,0,Confidence Judgments
53274.25,0,Confidence Judgments
47195.375,1,Confidence Judgments
66004682.75,0,Confidence Judgments
15825.5,0,Confidence Judgments
13304.333333333334,0,Confidence Judgments
67741.0,0,Confidence Judgments
121054.0,1,Confidence Judgments
25685.5,1,Confidence Judgments
17590.666666666668,0,Confidence Judgments
43376.25,0,Confidence Judgments
85244.41666666667,1,Confidence Judgments
11097.0,0,Confidence Judgments
192521.5,1,Confidence Judgments
9447.0,0,Confidence Judgments
138638.5,1,Confidence Judgments
260043.25,0,Confidence Judgments
41038.6,1,Confidence Judgments
174251042.6,0,Confidence Judgments
135938.1,0,Confidence Judgments
209969.25,0,Confidence Judgments
43921.25,0,Confidence Judgments
3836734.875,0,Confidence Judgments
30606.0,1,Confidence Judgments
65945.0,0,Confidence Judgments
14293120.833333334,0,Confidence Judgments
132638.16666666666,1,Confidence Judgments
56116.333333333336,0,Confidence Judgments
195027.4,0,Confidence Judgments
36331.833333333336,1,Confidence Judgments
41390845.72727273,1,Confidence Judgments
14548648.5,0,Confidence Judgments
17266932.0,1,Confidence Judgments
64227.833333333336,1,Confidence Judgments
576404.9285714285,1,Confidence Judgments
79806.75,1,Confidence Judgments
189291.33333333337,0,Confidence Judgments
821528.0,1,Confidence Judgments
236981640.66666663,1,Confidence Judgments
5859.0,0,Confidence Judgments
37081849.25,1,Confidence Judgments
108346.66666666669,0,Confidence Judgments
54384.166666666664,1,Confidence Judgments
34570.0,1,Confidence Judgments
82658944.75,0,Confidence Judgments
827648.5,0,Confidence Judgments
72345.8,1,Confidence Judgments
74064781.33333333,0,Confidence Judgments
215342.83333333337,1,Confidence Judgments
28990890.772727273,1,Confidence Judgments
58683.5,0,Confidence Judgments
88234.75,1,Confidence Judgments
192171.33333333337,0,Confidence Judgments
85215.0,0,Confidence Judgments
91187.14285714286,0,Confidence Judgments
163027.0,0,Confidence Judgments
25063.0,1,Confidence Judgments
29963.0,0,Confidence Judgments
85557.25,0,Confidence Judgments
105766665.8888889,1,Confidence Judgments
86442091.42857143,1,Confidence Judgments
131227.5,1,Confidence Judgments
88750.1,1,Confidence Judgments
56294.5,0,Confidence Judgments
63766.25,1,Confidence Judgments
4982.0,0,Confidence Judgments
52931.0,0,Confidence Judgments
29258336.1875,0,Confidence Judgments
40240.0,0,Confidence Judgments
49627.75,0,Confidence Judgments
96462.0,0,Confidence Judgments
21063.0,1,Confidence Judgments
175274.0,0,Confidence Judgments
151247647.25,1,Confidence Judgments
122566.44444444444,0,Confidence Judgments
40380.666666666664,0,Confidence Judgments
201648823.33333337,0,Confidence Judgments
26241.75,1,Confidence Judgments
110038856.1818182,0,Confidence Judgments
32131.5,0,Confidence Judgments
75732614.625,0,Confidence Judgments
14478974.2,0,Confidence Judgments
151284532.25,1,Confidence Judgments
60560633.3,1,Confidence Judgments
85960.0,0,Confidence Judgments
26429.625,0,Confidence Judgments
75650788.75,1,Confidence Judgments
82814.25,0,Confidence Judgments
604800000.0,0,Confidence Judgments
43102.11111111111,0,Confidence Judgments
24946556.555555556,1,Confidence Judgments
19384621.2,0,Confidence Judgments
113328.36363636365,1,Confidence Judgments
86098.33333333333,0,Confidence Judgments
21730.833333333332,0,Confidence Judgments
284864.3333333333,0,Confidence Judgments
68541.0,0,Confidence Judgments
34768.0,1,Confidence Judgments
35432.0,0,Confidence Judgments
26345.666666666668,0,Confidence Judgments
25819.333333333332,0,Confidence Judgments
524579.5,0,Confidence Judgments
200665.85714285713,0,Confidence Judgments
92761.85714285714,0,Confidence Judgments
68539.5,0,Confidence Judgments
115825.0,1,Confidence Judgments
102235.41666666669,1,Confidence Judgments
103055.2,0,Confidence Judgments
516919604.5,1,Confidence Judgments
16938.0,1,Confidence Judgments
47027.0,0,Confidence Judgments
57975.0,0,Confidence Judgments
333779.0,0,Confidence Judgments
62283.0,0,Confidence Judgments
86485207.85714285,1,Confidence Judgments
53749.4,1,Confidence Judgments
25620001.3,1,Confidence Judgments
58516.0,1,Confidence Judgments
151228663.75,0,Confidence Judgments
116938.75,0,Confidence Judgments
72698.14285714286,1,Confidence Judgments
6591.0,0,Confidence Judgments
64089.0,1,Confidence Judgments
110503.0,1,Confidence Judgments
