avg_first_response_time,treatment,experiment
15364.25,0,Emotion Labeling
1746241.5,0,Emotion Labeling
15616.4,0,Emotion Labeling
49083.75,0,Emotion Labeling
25687.2,0,Emotion Labeling
14426.4,1,Emotion Labeling
9492.5,0,Emotion Labeling
20054.0,1,Emotion Labeling
24893.5,0,Emotion Labeling
18674.555555555555,1,Emotion Labeling
11742.8,0,Emotion Labeling
11746.181818181818,0,Emotion Labeling
211630.0,0,Emotion Labeling
14451.0,1,Emotion Labeling
9116.0,0,Emotion Labeling
13141.75,0,Emotion Labeling
15978.0,1,Emotion Labeling
8279.6,1,Emotion Labeling
11905.0,1,Emotion Labeling
4598.0,0,Emotion Labeling
5740.090909090909,1,Emotion Labeling
21638.85714285714,1,Emotion Labeling
16667.5,0,Emotion Labeling
22265.090909090908,1,Emotion Labeling
14717.714285714286,0,Emotion Labeling
8255.0,1,Emotion Labeling
6994.6,1,Emotion Labeling
18085.69230769231,0,Emotion Labeling
7896.8,1,Emotion Labeling
9182.2,1,Emotion Labeling
8360.133333333333,1,Emotion Labeling
9761.2,1,Emotion Labeling
15098.0,1,Emotion Labeling
46536.5,0,Emotion Labeling
16520.875,0,Emotion Labeling
26706.0,1,Emotion Labeling
20835.875,1,Emotion Labeling
38960.8,1,Emotion Labeling
49553.8,1,Emotion Labeling
11079.0,0,Emotion Labeling
32184.0,0,Emotion Labeling
47203.857142857145,1,Emotion Labeling
27538.6,1,Emotion Labeling
16328.0,0,Emotion Labeling
17154.14285714286,1,Emotion Labeling
18909.526315789473,1,Emotion Labeling
19863.75,0,Emotion Labeling
6254.0,0,Emotion Labeling
9465.25,0,Emotion Labeling
15519.6,1,Emotion Labeling
24288.555555555555,0,Emotion Labeling
18844.4,1,Emotion Labeling
14873.8,1,Emotion Labeling
12970.25,0,Emotion Labeling
20307.2,1,Emotion Labeling
9687.5,0,Emotion Labeling
10970.5,0,Emotion Labeling
7170.25,0,Emotion Labeling
35716.57142857143,1,Emotion Labeling
12280.555555555557,0,Emotion Labeling
5631.5,0,Emotion Labeling
13711.0,0,Emotion Labeling
22912.81818181818,0,Emotion Labeling
13636.0,0,Emotion Labeling
6081.25,0,Emotion Labeling
7782.25,0,Emotion Labeling
14473.0,0,Emotion Labeling
32337.4,1,Emotion Labeling
14966.4,1,Emotion Labeling
20676.4,1,Emotion Labeling
23178.25,0,Emotion Labeling
25546.125,0,Emotion Labeling
9219.75,0,Emotion Labeling
55709.875,0,Emotion Labeling
7507.5,0,Emotion Labeling
20789.5,0,Emotion Labeling
7617.0,1,Emotion Labeling
18515.5,0,Emotion Labeling
6757.6,1,Emotion Labeling
14212.285714285714,1,Emotion Labeling
12341.2,1,Emotion Labeling
5625.75,0,Emotion Labeling
17915.428571428572,1,Emotion Labeling
4111.4,1,Emotion Labeling
34905.75,0,Emotion Labeling
11655.714285714286,0,Emotion Labeling
8907.2,1,Emotion Labeling
11794.4,1,Emotion Labeling
5784.25,0,Emotion Labeling
33670.25,0,Emotion Labeling
41580.4,1,Emotion Labeling
8360.0,1,Emotion Labeling
21427.8,1,Emotion Labeling
14315.333333333334,0,Emotion Labeling
16920.25,0,Emotion Labeling
15875.0,0,Emotion Labeling
11102.0,1,Emotion Labeling
27441.571428571428,1,Emotion Labeling
13897.4,1,Emotion Labeling
54861.4,1,Emotion Labeling
11735.75,1,Emotion Labeling
12038.75,0,Emotion Labeling
18767.8,0,Emotion Labeling
9511.0,0,Emotion Labeling
10523.25,0,Emotion Labeling
10197.25,0,Emotion Labeling
