num_hints,treatment,experiment
0,0,Confidence Judgments
0,1,Confidence Judgments
0,0,Confidence Judgments
25,0,Confidence Judgments
4,0,Confidence Judgments
0,1,Confidence Judgments
1,1,Confidence Judgments
0,1,Confidence Judgments
22,0,Confidence Judgments
4,1,Confidence Judgments
0,0,Confidence Judgments
11,1,Confidence Judgments
4,0,Confidence Judgments
1,0,Confidence Judgments
0,1,Confidence Judgments
9,0,Confidence Judgments
4,0,Confidence Judgments
1,0,Confidence Judgments
0,1,Confidence Judgments
11,0,Confidence Judgments
0,0,Confidence Judgments
0,1,Confidence Judgments
1,0,Confidence Judgments
58,0,Confidence Judgments
9,0,Confidence Judgments
0,0,Confidence Judgments
0,0,Confidence Judgments
0,0,Confidence Judgments
0,1,Confidence Judgments
0,0,Confidence Judgments
4,0,Confidence Judgments
12,0,Confidence Judgments
0,1,Confidence Judgments
2,0,Confidence Judgments
4,0,Confidence Judgments
0,0,Confidence Judgments
0,0,Confidence Judgments
4,0,Confidence Judgments
0,0,Confidence Judgments
0,1,Confidence Judgments
8,0,Confidence Judgments
4,1,Confidence Judgments
0,0,Confidence Judgments
0,0,Confidence Judgments
0,1,Confidence Judgments
0,1,Confidence Judgments
0,1,Confidence Judgments
0,0,Confidence Judgments
0,1,Confidence Judgments
0,1,Confidence Judgments
0,0,Confidence Judgments
0,0,Confidence Judgments
0,1,Confidence Judgments
0,0,Confidence Judgments
0,0,Confidence Judgments
0,0,Confidence Judgments
2,1,Confidence Judgments
0,0,Confidence Judgments
0,0,Confidence Judgments
0,0,Confidence Judgments
0,0,Confidence Judgments
5,0,Confidence Judgments
0,1,Confidence Judgments
0,0,Confidence Judgments
0,0,Confidence Judgments
0,1,Confidence Judgments
4,1,Confidence Judgments
0,0,Confidence Judgments
0,1,Confidence Judgments
0,1,Confidence Judgments
4,1,Confidence Judgments
0,0,Confidence Judgments
0,0,Confidence Judgments
0,0,Confidence Judgments
0,1,Confidence Judgments
1,0,Confidence Judgments
0,1,Confidence Judgments
0,0,Confidence Judgments
0,1,Confidence Judgments
0,0,Confidence Judgments
0,1,Confidence Judgments
0,0,Confidence Judgments
0,1,Confidence Judgments
4,0,Confidence Judgments
0,1,Confidence Judgments
0,0,Confidence Judgments
3,1,Confidence Judgments
4,0,Confidence Judgments
0,0,Confidence Judgments
0,0,Confidence Judgments
0,0,Confidence Judgments
0,1,Confidence Judgments
0,0,Confidence Judgments
0,0,Confidence Judgments
0,1,Confidence Judgments
4,0,Confidence Judgments
0,0,Confidence Judgments
0,0,Confidence Judgments
0,0,Confidence Judgments
1,1,Confidence Judgments
0,1,Confidence Judgments
0,0,Confidence Judgments
0,0,Confidence Judgments
8,1,Confidence Judgments
0,0,Confidence Judgments
0,1,Confidence Judgments
0,0,Confidence Judgments
4,1,Confidence Judgments
7,0,Confidence Judgments
0,1,Confidence Judgments
7,0,Confidence Judgments
24,0,Confidence Judgments
0,0,Confidence Judgments
0,0,Confidence Judgments
4,0,Confidence Judgments
0,1,Confidence Judgments
0,0,Confidence Judgments
11,0,Confidence Judgments
4,1,Confidence Judgments
0,0,Confidence Judgments
24,0,Confidence Judgments
4,1,Confidence Judgments
29,1,Confidence Judgments
13,0,Confidence Judgments
0,1,Confidence Judgments
4,1,Confidence Judgments
19,1,Confidence Judgments
0,1,Confidence Judgments
3,0,Confidence Judgments
0,1,Confidence Judgments
6,1,Confidence Judgments
0,0,Confidence Judgments
0,1,Confidence Judgments
0,0,Confidence Judgments
0,1,Confidence Judgments
9,1,Confidence Judgments
4,0,Confidence Judgments
27,0,Confidence Judgments
11,1,Confidence Judgments
7,0,Confidence Judgments
11,1,Confidence Judgments
55,1,Confidence Judgments
4,0,Confidence Judgments
11,1,Confidence Judgments
0,0,Confidence Judgments
0,0,Confidence Judgments
4,0,Confidence Judgments
4,0,Confidence Judgments
0,1,Confidence Judgments
0,0,Confidence Judgments
4,0,Confidence Judgments
20,1,Confidence Judgments
0,1,Confidence Judgments
0,1,Confidence Judgments
2,1,Confidence Judgments
0,0,Confidence Judgments
0,1,Confidence Judgments
0,0,Confidence Judgments
10,0,Confidence Judgments
38,0,Confidence Judgments
0,0,Confidence Judgments
0,0,Confidence Judgments
0,0,Confidence Judgments
0,1,Confidence Judgments
9,0,Confidence Judgments
